id,query
1,Suggest a quick vegan breakfast recipe
2,I have chicken and rice. what can I cook?
3,Give me a dessert recipe with chocolate 
4,I want to cook a pad ka prao
5,aide moi à faire des accras de morue 
6,I've eggs, soy sauce and pork belly. what can I cook?
7,best recipe for fancy date
8,banger for kids
9,suggest 3 recipes under 20 minutes
10,I'm a beginner in cooking. suggest a recipe for me.
11,I’m allergic to nuts, suggest a dessert
12,give me a recipe for a healthy lunch using cups and F°
13,recipe with durian
14,Need a raw-egg tiramisu suitable for toddlers
15,lasagna for 14 people
16,cocktail with negroni
17,¿Cómo hacer paella valenciana?
18,Only have salt and water—help
19,again but cheaper
20,gluten free pizza
